2026-04-13T15:48:23.1386919+03:00 | Bilgi | Interface XML Data: {"RetryCounter":3,"IpRetryCount":1,"AckTimeOut":1500,"CommTimeOut":10000,"InterCharacterTimeOut":100,"PortName":"\\\\.\\COM5","BaudRate":115200,"ByteSize":8,"fParity":0,"Parity":0,"StopBit":0,"IsTcpConnection":1,"IP":"192.168.2.13","Port":7500,"IsTcpKeepAlive":1}
2026-04-13T15:48:23.1395756+03:00 | Bilgi | Mevcut Ingenico interface bulundu. Handle: 652162138
2026-04-13T15:48:23.2772702+03:00 | Bilgi | Json_FP3_UpdateInterfaceXmlDataByID retcode: 0
2026-04-13T15:48:23.2876455+03:00 | Bilgi | FP3_GetInterfaceHandleByID retcode after create: 0
2026-04-13T15:48:23.2879738+03:00 | Bilgi | Ingenico interface hazır. Handle: 652162138
2026-04-13T15:48:23.2881342+03:00 | Bilgi | Ingenico ECHO kontrolü çalıştırılıyor.
2026-04-13T15:48:24.0134974+03:00 | Bilgi | Json_FP3_Echo retcode: 0
2026-04-13T15:48:24.0149625+03:00 | Bilgi | Ingenico ECHO başarılı.
2026-04-13T15:48:24.0152053+03:00 | Bilgi | Ingenico bağlantı testi başarılı.
2026-04-13T15:48:26.5990714+03:00 | Bilgi | Ingenico In-Process Task başlatılıyor. İşlem: pairing
2026-04-13T15:48:26.6176872+03:00 | Bilgi | Ingenico manuel pairing akışı başlatıldı.
2026-04-13T15:48:26.6258438+03:00 | Bilgi | Bağlantı Ayarı => Mod: Tcp, InterfaceId: COM1, IP: 192.168.2.13, Port: 7500, COM: \\.\COM5, Baud: 115200
2026-04-13T15:48:26.6264541+03:00 | Bilgi | TCP Probe başlatılıyor: 192.168.2.13:7500
2026-04-13T15:48:26.6392791+03:00 | Bilgi | Ham TCP bağlantı testi başarılı.
2026-04-13T15:48:26.6537778+03:00 | Bilgi | DLL'e gönderilecek bağlantı bilgileri:
2026-04-13T15:48:26.6561930+03:00 | Bilgi | InterfaceId: COM1, Mod: TCP, IP: 192.168.2.13, Port: 7500
2026-04-13T15:48:26.6683089+03:00 | Bilgi | FP3_GetInterfaceHandleByID retcode: 0
